ticketID,accountID,type,size,symbol,price,sl,tp,swap,profit,closed,created
25930355,10134834,sell,1.66,nas100,12657,12687,12507,0,-53.12,2023.03.27 19:24:35,2023.03.27 19:10:02
25938159,10134834,sell,1.66,nas100,12697.9,12727.9,12547.9,-3.34,249,2023.03.28 17:33:24,2023.03.27 22:45:00
25984376,10134834,sell,1.66,nas100,12637.6,12668.1,12488.1,-3.34,-50.96,2023.03.29 04:25:57,2023.03.28 15:45:01
25991080,10134834,sell,1.66,nas100,12573.6,12605.9,12425.9,0,-54.95,2023.03.28 17:17:10,2023.03.28 16:45:00
25998762,10134834,sell,1.66,nas100,12535.8,12565.8,12385.8,0,-49.97,2023.03.28 18:03:36,2023.03.28 17:45:00
26005697,10134834,sell,1.66,nas100,12571.8,12602.1,12422.1,0,-50.3,2023.03.28 22:51:03,2023.03.28 19:15:00
26009842,10134834,sell,1.66,nas100,12535.5,12566.5,12386.5,0,-57.77,2023.03.28 21:46:03,2023.03.28 20:45:00
26061122,10134834,buy,1.66,nas100,12734.8,12883.5,12925.2,-3.48,246.68,2023.03.30 12:30:07,2023.03.29 16:00:00
26081649,10134834,buy,1.66,nas100,12796.9,12766.2,12946.2,-3.48,247.84,2023.03.30 16:25:17,2023.03.29 19:00:00
26088698,10134834,buy,1.66,nas100,12812.7,12782.6,12962.6,-3.48,248.83,2023.03.30 17:00:17,2023.03.29 21:45:00
26129936,10134834,buy,1.66,nas100,12916.6,12886.6,13066.6,-3.48,249,2023.03.31 17:45:00,2023.03.30 14:15:02
26133437,10134834,buy,1.66,nas100,12921.3,12891.3,13071.3,0,-50.13,2023.03.30 20:42:31,2023.03.30 15:15:00
26137870,10134834,buy,1.66,nas100,12940.2,12910.2,13090.2,0,-49.8,2023.03.30 16:08:36,2023.03.30 15:45:00
26143796,10134834,buy,1.66,nas100,12942.7,12912.7,13092.7,0,-50.13,2023.03.30 17:12:33,2023.03.30 16:30:00
26168672,10134834,buy,1.66,nas100,12943.4,12913.4,13093.4,-3.48,249,2023.03.31 19:03:55,2023.03.30 21:30:00
26214107,10134834,buy,1.66,nas100,12980.2,12950.2,13130.2,0,209.33,2023.03.31 20:18:33,2023.03.31 15:45:00
26217794,10134834,buy,1.66,nas100,12994.9,12964.9,13144.9,0,-49.8,2023.03.31 16:30:01,2023.03.31 16:15:00
26227196,10134834,buy,1.66,nas100,13067,13037,13217,0,75.86,2023.03.31 21:34:11,2023.03.31 17:45:00
26306923,10134834,buy,0.16,nas100,13140.8,13110.1,13290.1,0,-4.93,2023.04.03 17:40:22,2023.04.03 17:30:00
26398902,10134834,sell,0.16,nas100,13080,13110,12930,0,-4.82,2023.04.04 19:45:02,2023.04.04 19:15:00
26404434,10134834,sell,0.16,nas100,13078.3,13108.3,12928.3,0,-4.8,2023.04.04 23:02:37,2023.04.04 21:30:00
26405376,10134834,sell,0.16,nas100,13067.9,13097.9,12917.9,0,-4.9,2023.04.04 22:59:46,2023.04.04 22:00:00
26453224,10134834,sell,0.16,nas100,13053.1,13083.1,12903.1,0,24,2023.04.05 19:16:01,2023.04.05 16:30:00
26461935,10134834,sell,0.16,nas100,12998.7,13028.9,12848.9,-0.32,23.97,2023.04.06 16:35:43,2023.04.05 17:15:00
26475849,10134834,sell,0.16,nas100,12911.8,12941.8,12761.8,0,-4.82,2023.04.05 20:41:34,2023.04.05 19:15:00
26484429,10134834,sell,0.16,nas100,12934.1,12964.1,12784.1,0,-4.82,2023.04.05 22:42:37,2023.04.05 22:15:00
26532352,10134834,sell,0.16,nas100,12863.5,12893.5,12713.5,0,-4.82,2023.04.06 17:01:00,2023.04.06 16:45:00
26537482,10134834,buy,0.16,nas100,12934.6,12903.7,13083.7,0,-5.07,2023.04.06 17:43:04,2023.04.06 17:15:00
26544294,10134834,buy,0.16,nas100,12948.8,12918.8,13098.8,-1.33,-4.8,2023.04.10 16:31:21,2023.04.06 18:15:00
26546324,10134834,buy,0.16,nas100,13003.1,12973.1,13153.1,-1.33,-4.9,2023.04.10 15:06:04,2023.04.06 18:45:00
27846037,10134834,sell,1,nas100,13210.6,13240.6,13060.6,0,148.4,2023.05.02 18:01:04,2023.05.02 15:30:00
27853314,10134834,sell,1,nas100,13207.1,13237.7,13057.7,0,144.9,2023.05.02 18:01:04,2023.05.02 16:45:00
27859493,10134834,sell,1,nas100,13164.5,13195.6,13015.6,-2.01,12.9,2023.05.03 15:04:28,2023.05.02 17:15:00
27886331,10134834,sell,1,nas100,13105.6,13135.9,12955.9,0,-30.3,2023.05.02 21:57:02,2023.05.02 21:15:00
27933782,10134834,buy,1,nas100,13140.8,13110.8,13290.8,0,-30,2023.05.03 18:27:12,2023.05.03 16:15:00
27953698,10134834,buy,1,nas100,13146.2,13115.9,13295.9,0,-34.4,2023.05.03 21:37:08,2023.05.03 19:00:00
27956642,10134834,buy,1,nas100,13157.3,13127.3,13307.3,0,-31,2023.05.03 21:03:24,2023.05.03 20:00:00
27966086,10134834,buy,1,nas100,13198.5,13165,13345,0,-33.5,2023.05.03 21:34:25,2023.05.03 21:30:00
27972628,10134834,sell,1,nas100,13089,13119.4,12939.4,0,-30.4,2023.05.03 22:17:54,2023.05.03 22:15:00
28017465,10134834,sell,1,nas100,13026.6,13056.9,12876.9,0,10.1,2023.05.04 15:15:00,2023.05.04 14:15:00
28021488,10134834,sell,1,nas100,13014.4,13044.5,12864.5,0,11.1,2023.05.04 15:18:19,2023.05.04 15:15:01
28035511,10134834,sell,1,nas100,12966.1,12997.9,12817.9,0,-31.8,2023.05.04 17:08:32,2023.05.04 16:45:00
28044021,10134834,sell,1,nas100,12943.1,12973.6,12793.6,0,-30.5,2023.05.04 17:36:04,2023.05.04 17:30:00
28051391,10134834,buy,1,nas100,13028.6,12998.5,13178.5,0,-30.6,2023.05.04 18:46:33,2023.05.04 18:15:00